name_canon,FND,Fecha,Fuente
enfermeria,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_01,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_02,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_03,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_04,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_05,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_06,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_07,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_08,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_09,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_10,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_11,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_12,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_13,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_14,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
guasimal_15,0.6899,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_01,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_02,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_03,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_04,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_05,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_06,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_07,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_08,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_09,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_09_b,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_10,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
la_divisa_11,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
pasto_viejo_1,0.7713333333333333,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
pasto_viejo_2,0.7713333333333333,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
pasto_viejo_3,0.7713333333333333,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
pasto_viejo_4,0.7713333333333333,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
pasto_viejo_5,0.7713333333333333,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
pasto_viejo_6,0.7713333333333333,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
pasto_viejo_7,0.7713333333333333,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
pasto_viejo_8,0.7713333333333333,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
pecho_de_paloma_01,,2024-09-01,Bromatologia Iguana Sep-24 (lluvias)
