name_canon,date,P_mm,ET0_1d_mm,P_minus_ET0_1d_mm,P_minus_ET0_1d_mm_7d,P_minus_ET0_1d_mm_14d,P_minus_ET0_1d_mm_30d
Guasimal_z_01,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
Guasimal_z_03,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
Guasimal_z_04,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
Guasimal_z_05,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
Guasimal_z_06,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
Guasimal_z_07,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
Guasimal_z_11,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
Guasimal_z_12,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
La Divisa_z_04,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
Pasto_viejo_z_6,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
Guasimal_z_02,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
Guasimal_z_08,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
Guasimal_z_14,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
La Divisa_z_01,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
La Divisa_z_02,2025-01-01,0.0,8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845,-8.591800928115845
