date;name_canon;ocupado;PV_total_kg;UA_total;N_adultos;N_crias;UA_por_adulto;UA_por_cria;nota;;;;;
13/07/2025;La_Divisa_01;0;;1;;;;;;;;;;
13/07/2025;La_Divisa_02;0;;1;;;;;;;;;;
13/07/2025;La_Divisa_03;0;;1;;;;;;;;;;
13/07/2025;La_Divisa_04;0;;1;;;;;;;;;;
13/07/2025;La_Divisa_05;0;;1;;;;;;;;;;
13/07/2025;La_Divisa_06;0;;1;;;;;;;;;;
13/07/2025;La_Divisa_07;0;;1;;;;;;;;;;
13/07/2025;La_Divisa_08;0;;1;;;;;;;;;;
13/07/2025;La_Divisa_09;0;;1;;;;;;;;;;
13/07/2025;La_Divisa_09B;0;;1;;;;;;;;;;
13/07/2025;La_Divisa_10;0;;1;;;;;;;;;;
13/07/2025;La_Divisa_11;0;;1;;;;;;;;;;
13/07/2025;Enfermeria;0;;1;;;;;;;;;;
13/07/2025;Guasimal_01;0;;1;;;;;;;;;;
13/07/2025;Guasimal_02;0;;1;;;;;;;;;;
13/07/2025;Guasimal_03;0;;1;;;;;;;;;;
13/07/2025;Guasimal_04;0;;1;;;;;;;;;;
13/07/2025;Guasimal_05;0;;1;;;;;;;;;;
13/07/2025;Guasimal_06;0;;1;;;;;;;;;;
13/07/2025;Guasimal_07;0;;1;;;;;;;;;;
13/07/2025;Guasimal_08;0;;1;;;;;;;;;;
13/07/2025;Guasimal_09;0;;1;;;;;;;;;;
13/07/2025;Guasimal_10;0;;1;;;;;;;;;;
13/07/2025;Guasimal_11;0;;1;;;;;;;;;;
13/07/2025;Guasimal_12;0;;1;;;;;;;;;;
13/07/2025;Guasimal_13;0;;1;;;;;;;;;;
13/07/2025;Guasimal_14;0;;1;;;;;;;;;;
13/07/2025;Guasimal_15;0;;1;;;;;;;;;;
13/07/2025;Pecho_de_paloma_01;0;;1;;;;;;;;;;
13/07/2025;Pasto_viejo_01;0;;1;;;;;;;;;;
13/07/2025;Pasto_viejo_02;0;;1;;;;;;;;;;
13/07/2025;Pasto_viejo_03;0;;1;;;;;;;;;;
13/07/2025;Pasto_viejo_04;0;;1;;;;;;;;;;
13/07/2025;Pasto_viejo_05;0;;1;;;;;;;;;;
13/07/2025;Pasto_viejo_06;0;;1;;;;;;;;;;
13/07/2025;Pasto_viejo_07;0;;1;;;;;;;;;;
13/07/2025;Pasto_viejo_08;0;;1;;;;;;;;;;
14/07/2025;La_Divisa_01;1;;230;;;;;;01/09/2025;La_Divisa_04;1;;230
14/07/2025;Guasimal_01;1;;160;;;;;;01/09/2025;Guasimal_04;1;;160
14/07/2025;Pasto_viejo_01;1;;90;;;;;;01/09/2025;La_Divisa_06;1;;90
18/07/2025;La_Divisa_01;0;;230;;;;;;;;;;
18/07/2025;Guasimal_01;0;;160;;;;;;;;;;
18/07/2025;Pasto_viejo_01;0;;90;;;;;;;;;;
18/07/2025;La_Divisa_02;1;;230;;;;;;;;;;
18/07/2025;Guasimal_02;1;;160;;;;;;;;;;
18/07/2025;Pasto_viejo_02;1;;90;;;;;;;;;;
27/07/2025;La_Divisa_02;0;;230;;;;;;;;;;
27/07/2025;Guasimal_02;0;;160;;;;;;;;;;
27/07/2025;Pasto_viejo_02;0;;90;;;;;;;;;;
27/07/2025;La_Divisa_03;1;;230;;;;;;;;;;
27/07/2025;Guasimal_03;1;;160;;;;;;;;;;
27/07/2025;Pasto_viejo_03;1;;90;;;;;;;;;;
31/07/2025;La_Divisa_03;0;;230;;;;;;;;;;
31/07/2025;Guasimal_03;0;;160;;;;;;;;;;
31/07/2025;Pasto_viejo_03;0;;90;;;;;;;;;;
31/07/2025;La_Divisa_04;1;;240;;;;;;;;;;
31/07/2025;Guasimal_04;1;;160;;;;;;;;;;
31/07/2025;Pasto_viejo_04;1;;100;;;;;;;;;;
08/08/2025;La_Divisa_04;0;;240;;;;;;;;;;
08/08/2025;Guasimal_04;0;;160;;;;;;;;;;
08/08/2025;Pasto_viejo_04;0;;100;;;;;;;;;;
08/08/2025;La_Divisa_05;1;;240;;;;;;;;;;
08/08/2025;Guasimal_05;1;;160;;;;;;;;;;
08/08/2025;Pasto_viejo_05;1;;100;;;;;;;;;;
15/08/2025;La_Divisa_05;0;;240;;;;;;;;;;
15/08/2025;Guasimal_05;0;;160;;;;;;;;;;
15/08/2025;Pasto_viejo_05;0;;100;;;;;;;;;;
15/08/2025;La_Divisa_06;1;;240;;;;;;;;;;
15/08/2025;Guasimal_06;1;;160;;;;;;;;;;
15/08/2025;Pasto_viejo_06;1;;100;;;;;;;;;;
23/08/2025;La_Divisa_06;0;;240;;;;;;;;;;
23/08/2025;Guasimal_06;0;;160;;;;;;;;;;
23/08/2025;Pasto_viejo_06;0;;100;;;;;;;;;;
23/08/2025;La_Divisa_07;1;;240;;;;;;;;;;
23/08/2025;Guasimal_07;1;;160;;;;;;;;;;
23/08/2025;Pasto_viejo_07;1;;100;;;;;;;;;;
04/09/2025;La_Divisa_07;0;;240;;;;;;;;;;
04/09/2025;Guasimal_07;0;;160;;;;;;;;;;
04/09/2025;Pasto_viejo_07;0;;100;;;;;;;;;;
04/09/2025;La_Divisa_08;1;;230;;;;;;;;;;
04/09/2025;Guasimal_08;1;;200;;;;;;;;;;
04/09/2025;Pasto_viejo_08;1;;113;;;;;;;;;;
07/09/2025;La_Divisa_08;0;;230;;;;;;;;;;
07/09/2025;Guasimal_08;0;;200;;;;;;;;;;
07/09/2025;Pasto_viejo_08;0;;113;;;;;;;;;;
07/09/2025;La_Divisa_01;1;;230;;;;;;;;;;
07/09/2025;Guasimal_01;1;;200;;;;;;;;;;
07/09/2025;Pasto_viejo_01;1;;113;;;;;;;;;;
09/09/2025;La_Divisa_01;0;;230;;;;;;;;;;
09/09/2025;Guasimal_01;0;;200;;;;;;;;;;
09/09/2025;Pasto_viejo_01;0;;113;;;;;;;;;;
09/09/2025;La_Divisa_09;1;;230;;;;;;;;;;
09/09/2025;Guasimal_09;1;;200;;;;;;;;;;
09/09/2025;Pecho_de_paloma_01;1;;113;;;;;;;;;;
11/09/2025;La_Divisa_09;0;;230;;;;;;;;;;
11/09/2025;Guasimal_09;0;;200;;;;;;;;;;
11/09/2025;Pecho_de_paloma_01;0;;113;;;;;;;;;;
11/09/2025;Guasimal_10;1;;230;;;;;;;;;;
11/09/2025;Guasimal_11;1;;200;;;;;;;;;;
11/09/2025;Guasimal_12;1;;113;;;;;;;;;;
13/09/2025;Guasimal_10;0;;230;;;;;;;;;;
13/09/2025;Guasimal_11;0;;200;;;;;;;;;;
13/09/2025;Guasimal_12;0;;113;;;;;;;;;;
13/09/2025;La_Divisa_02;1;;230;;;;;;;;;;
13/09/2025;Guasimal_02;1;;200;;;;;;;;;;
13/09/2025;Pasto_viejo_02;1;;113;;;;;;;;;;
